Time	K-01	K-02	K-03	K-04	K-05	K-06	K-07	K-08	K-09	K-10
0	1	2	3	4	5	6	7	8	9	10
0.001	1	2	3	4	5	6	7	8	9	10
0.002	1	2	3	4	5	6	7	8	9	10
0.003	1	2	3	4	5	6	7	8	9	10
0.004	1	2	3	4	5	6	7	8	9	10
0.005	1	2	3	4	5	6	7	8	9	10
0.006	1	2	3	4	5	6	7	8	9	10
0.007	1	2	3	4	5	6	7	8	9	10
0.008	1	2	3	4	5	6	7	8	9	10
0.009	1	2	3	4	5	6	7	8	9	10
0.01	1	2	3	4	5	6	7	8	9	10
0.011	1	2	3	4	5	6	7	8	9	10
0.012	1	2	3	4	5	6	7	8	9	10
0.013	1	2	3	4	5	6	7	8	9	10
0.014	1	2	3	4	5	6	7	8	9	10
0.015	1	2	3	4	5	6	7	8	9	10
0.016	1	2	3	4	5	6	7	8	9	10
0.017	1	2	3	4	5	6	7	8	9	10
0.018	1	2	3	4	5	6	7	8	9	10
0.019	1	2	3	4	5	6	7	8	9	10
0.02	1	2	3	4	5	6	7	8	9	10
0.021	1	2	3	4	5	6	7	8	9	10
0.022	1	2	3	4	5	6	7	8	9	10
0.023	1	2	3	4	5	6	7	8	9	10
0.024	1	2	3	4	5	6	7	8	9	10
0.025	1	2	3	4	5	6	7	8	9	10
0.026	1	2	3	4	5	6	7	8	9	10
0.027	1	2	3	4	5	6	7	8	9	10
0.028	1	2	3	4	5	6	7	8	9	10
